age,job,marital,education,balance,duration
58.0,management,married,tertiary,2143,261
44.0,technician,single,secondary,29,151
33.0,entrepreneur,married,secondary,2,76
47.0,blue-collar,married,unknown,1506,92
33.0,unknown,single,unknown,1,198
35.0,management,married,tertiary,231,139
28.0,management,single,tertiary,447,217
42.0,entrepreneur,divorced,tertiary,2,380
58.0,retired,married,primary,121,50
43.0,technician,single,secondary,593,55
41.0,admin.,divorced,secondary,270,222
29.0,admin.,single,secondary,390,137
53.0,technician,married,secondary,6,517
58.0,technician,married,unknown,71,71
57.0,services,married,secondary,162,174
51.0,retired,married,primary,229,353
45.0,admin.,single,unknown,13,98
57.0,blue-collar,married,primary,52,38
60.0,retired,married,primary,60,219
33.0,services,married,secondary,0,54
28.0,blue-collar,married,secondary,723,262
56.0,management,married,tertiary,779,164
32.0,blue-collar,single,primary,23,160
25.0,services,married,secondary,50,342
40.0,retired,married,primary,0,181
44.0,admin.,married,secondary,-372,172
39.0,management,single,tertiary,255,296
52.0,entrepreneur,married,secondary,113,127
46.0,management,single,secondary,-246,255
36.0,technician,single,secondary,265,348
57.0,technician,married,secondary,839,225
49.0,management,married,tertiary,378,230
60.0,admin.,married,secondary,39,208
59.0,blue-collar,married,secondary,0,226
51.0,management,married,tertiary,10635,336
57.0,technician,divorced,secondary,63,242
25.0,blue-collar,married,secondary,-7,365
53.0,technician,married,secondary,-3,1666
36.0,admin.,divorced,secondary,506,577
37.0,admin.,single,secondary,0,137
44.0,services,divorced,secondary,2586,160
50.0,management,married,secondary,49,180
60.0,blue-collar,married,unknown,104,22
54.0,retired,married,secondary,529,1492
58.0,retired,married,unknown,96,616
36.0,admin.,single,primary,-171,242
58.0,self-employed,married,tertiary,-364,355
44.0,technician,married,secondary,0,225
55.0,technician,divorced,secondary,0,160
29.0,management,single,tertiary,0,363
54.0,blue-collar,married,secondary,1291,266
48.0,management,divorced,tertiary,-244,253
32.0,management,married,tertiary,0,179
42.0,admin.,single,secondary,-76,787
24.0,technician,single,secondary,-103,145
38.0,entrepreneur,single,tertiary,243,174
38.0,management,single,tertiary,424,104
47.0,blue-collar,married,unknown,306,13
40.0,blue-collar,single,unknown,24,185
46.0,services,married,primary,179,1778
32.0,admin.,married,tertiary,0,138
53.0,technician,divorced,secondary,989,812
57.0,blue-collar,married,primary,249,164
33.0,services,married,secondary,790,391
49.0,blue-collar,married,unknown,154,357
51.0,management,married,tertiary,6530,91
60.0,retired,married,tertiary,100,528
59.0,management,divorced,tertiary,59,273
55.0,technician,married,secondary,1205,158
35.0,blue-collar,single,secondary,12223,177
57.0,blue-collar,married,secondary,5935,258
31.0,services,married,secondary,25,172
54.0,management,married,secondary,282,154
55.0,blue-collar,married,primary,23,291
43.0,technician,married,secondary,1937,181
53.0,technician,married,secondary,384,176
44.0,blue-collar,married,secondary,582,211
55.0,services,divorced,secondary,91,349
49.0,services,divorced,secondary,0,272
55.0,services,divorced,secondary,1,208
45.0,admin.,single,secondary,206,193
47.0,services,divorced,secondary,164,212
42.0,technician,single,secondary,690,20
59.0,admin.,married,secondary,2343,1042
46.0,self-employed,married,tertiary,137,246
51.0,blue-collar,married,primary,173,529
56.0,admin.,married,secondary,45,1467
41.0,technician,married,secondary,1270,1389
46.0,management,divorced,secondary,16,188
57.0,retired,married,secondary,486,180
42.0,management,single,secondary,50,48
30.0,technician,married,secondary,152,213
60.0,admin.,married,secondary,290,583
60.0,blue-collar,married,unknown,54,221
57.0,entrepreneur,divorced,secondary,-37,173
36.0,management,married,tertiary,101,426
55.0,blue-collar,married,secondary,383,287
60.0,retired,married,tertiary,81,101
39.0,technician,married,secondary,0,203
46.0,management,married,tertiary,229,197
44.0,blue-collar,married,secondary,-674,257
53.0,blue-collar,married,primary,90,124
52.0,blue-collar,married,primary,128,229
59.0,blue-collar,married,primary,179,55
27.0,technician,single,tertiary,0,400
44.0,blue-collar,married,secondary,54,197
47.0,technician,married,tertiary,151,190
34.0,admin.,married,secondary,61,21
59.0,retired,single,secondary,30,514
45.0,management,married,tertiary,523,849
29.0,services,divorced,secondary,31,zero
46.0,technician,divorced,secondary,79,144
56.0,self-employed,married,primary,-34,212
36.0,blue-collar,married,primary,448,286
59.0,retired,divorced,primary,81,107
44.0,blue-collar,married,secondary,144,247
41.0,admin.,married,secondary,351,518
33.0,management,single,tertiary,-67,364
59.0,management,divorced,tertiary,262,178
57.0,technician,married,primary,0,98
56.0,technician,divorced,unknown,56,439
51.0,blue-collar,married,secondary,26,79
34.0,admin.,married,unknown,3,120
43.0,services,married,secondary,41,127
52.0,technician,married,tertiary,7,175
33.0,technician,single,secondary,105,262
29.0,admin.,single,secondary,818,61
34.0,services,married,secondary,-16,78
31.0,blue-collar,married,secondary,0,143
55.0,services,married,secondary,2476,579
55.0,management,married,unknown,1185,677
32.0,admin.,single,secondary,217,345
38.0,technician,single,secondary,1685,185
55.0,admin.,single,secondary,802,100
28.0,unemployed,single,tertiary,0,125
23.0,blue-collar,married,secondary,94,193
32.0,technician,single,secondary,0,136
43.0,services,single,unknown,0,73
32.0,blue-collar,married,secondary,517,528
46.0,blue-collar,married,secondary,265,541
53.0,housemaid,divorced,primary,947,163
34.0,self-employed,single,secondary,3,301
57.0,unemployed,married,tertiary,42,46
37.0,blue-collar,married,secondary,37,204
59.0,blue-collar,married,secondary,57,98
33.0,services,married,secondary,22,71
56.0,blue-collar,divorced,primary,8,157
48.0,unemployed,married,secondary,293,243
43.0,services,married,primary,3,186
54.0,blue-collar,married,primary,348,579
51.0,blue-collar,married,unknown,-19,163
26.0,student,single,secondary,0,610
40.0,management,married,tertiary,-4,2033
39.0,management,married,secondary,18,85
50.0,technician,married,primary,139,114
41.0,services,married,secondary,0,114
51.0,blue-collar,married,unknown,1883,57
60.0,retired,divorced,secondary,216,238
52.0,blue-collar,married,secondary,782,93
48.0,blue-collar,married,secondary,904,128
48.0,services,married,unknown,1705,107
39.0,technician,single,tertiary,47,181
47.0,services,single,secondary,176,303
40.0,blue-collar,married,secondary,1225,558
45.0,technician,married,secondary,86,270
26.0,admin.,single,secondary,82,228
52.0,management,married,tertiary,271,99
54.0,technician,married,secondary,1378,240
54.0,admin.,married,tertiary,184,673
50.0,blue-collar,married,primary,0,233
35.0,blue-collar,married,secondary,0,1056
44.0,services,married,secondary,1357,250
53.0,entrepreneur,married,unknown,19,252
35.0,retired,single,primary,434,138
60.0,admin.,divorced,secondary,92,130
53.0,admin.,divorced,secondary,1151,412
48.0,unemployed,married,secondary,41,179
34.0,technician,married,secondary,51,19
54.0,services,married,secondary,214,458
51.0,management,married,secondary,1161,717
31.0,services,married,tertiary,37,313
35.0,technician,divorced,secondary,787,683
35.0,services,married,secondary,59,1077
38.0,technician,married,secondary,253,416
36.0,admin.,married,tertiary,211,146
58.0,retired,married,primary,235,167
40.0,services,divorced,unknown,4384,315
54.0,management,married,secondary,4080,140
34.0,blue-collar,single,secondary,53,346
31.0,management,single,tertiary,0,562
51.0,retired,married,secondary,2127,172
33.0,management,married,tertiary,377,217
55.0,management,married,tertiary,73,142
42.0,admin.,married,secondary,445,67
34.0,blue-collar,married,secondary,243,291
33.0,blue-collar,single,secondary,307,309
38.0,services,married,secondary,155,248
50.0,technician,divorced,tertiary,173,98
43.0,management,married,tertiary,400,256
61.0,blue-collar,divorced,primary,1428,82
47.0,admin.,married,secondary,219,577
48.0,self-employed,married,tertiary,7,286
44.0,blue-collar,married,secondary,575,477
35.0,student,single,unknown,298,611
35.0,services,married,secondary,0,471
50.0,services,married,secondary,5699,381
41.0,management,married,tertiary,176,42
41.0,management,married,tertiary,517,251
39.0,services,single,unknown,257,408
42.0,retired,married,secondary,56,215
38.0,blue-collar,married,secondary,-390,287
53.0,retired,married,secondary,330,216
59.0,housemaid,divorced,primary,195,366
36.0,services,married,secondary,301,210
54.0,blue-collar,married,primary,-41,288
40.0,technician,married,tertiary,483,168
47.0,unknown,married,unknown,28,338
53.0,unemployed,married,unknown,13,410
46.0,housemaid,married,primary,965,177
39.0,management,married,tertiary,378,127
40.0,unemployed,married,secondary,219,zero
28.0,blue-collar,married,primary,324,175
35.0,entrepreneur,divorced,secondary,-69,300
55.0,retired,married,secondary,0,136
43.0,technician,divorced,unknown,205,1419
48.0,blue-collar,married,primary,278,125
58.0,management,married,unknown,1065,213
33.0,management,single,tertiary,34,27
36.0,blue-collar,married,unknown,1033,238
53.0,services,divorced,secondary,1467,124
47.0,blue-collar,married,primary,-12,18
31.0,services,married,secondary,388,730
57.0,entrepreneur,married,secondary,294,746
53.0,blue-collar,married,unknown,1827,121
55.0,blue-collar,married,primary,627,247
45.0,blue-collar,married,primary,25,40
53.0,admin.,divorced,secondary,315,181
37.0,blue-collar,married,primary,0,79
44.0,admin.,divorced,secondary,66,206
49.0,blue-collar,divorced,primary,-9,389
46.0,technician,married,secondary,349,127
43.0,entrepreneur,married,unknown,100,702
38.0,admin.,married,secondary,0,151
43.0,technician,married,secondary,434,117
49.0,management,married,tertiary,3237,232
42.0,management,married,unknown,275,408
22.0,blue-collar,single,secondary,0,179
40.0,management,married,tertiary,207,39
39.0,blue-collar,married,secondary,483,282
51.0,services,married,secondary,2248,714
49.0,admin.,married,secondary,428,50
53.0,blue-collar,married,secondary,0,181
34.0,services,single,secondary,0,142
33.0,technician,divorced,secondary,140,227
50.0,management,single,tertiary,297,119
39.0,blue-collar,married,primary,279,361
59.0,entrepreneur,divorced,secondary,901,73
30.0,technician,single,secondary,2573,67
36.0,services,married,secondary,143,350
40.0,blue-collar,married,secondary,475,332
53.0,blue-collar,married,secondary,70,611
34.0,management,single,tertiary,318,113
37.0,technician,married,secondary,275,132
42.0,management,divorced,tertiary,742,58
41.0,entrepreneur,married,primary,236,151
30.0,student,single,tertiary,25,89
37.0,management,single,tertiary,600,152
39.0,admin.,divorced,secondary,-349,611
41.0,blue-collar,married,primary,183,110
40.0,blue-collar,married,primary,0,463
42.0,management,single,tertiary,0,562
40.0,blue-collar,divorced,primary,0,962
57.0,technician,married,secondary,1078,10
56.0,entrepreneur,divorced,secondary,155,118
37.0,admin.,married,secondary,190,92
59.0,retired,married,secondary,319,143
39.0,services,divorced,secondary,-185,189
49.0,services,married,secondary,47,234
38.0,services,single,secondary,570,75
36.0,self-employed,married,tertiary,19,189
50.0,blue-collar,married,primary,61,621
41.0,admin.,married,secondary,-62,55
54.0,technician,married,tertiary,258,310
58.0,blue-collar,married,primary,76,156
30.0,blue-collar,single,secondary,0,5
33.0,admin.,single,secondary,352,225
47.0,admin.,married,secondary,368,125
50.0,technician,single,tertiary,339,2
32.0,blue-collar,married,secondary,1331,286
40.0,self-employed,married,secondary,672,164
37.0,management,married,tertiary,58,98
54.0,technician,single,unknown,447,742
24.0,student,single,secondary,423,226
54.0,management,married,tertiary,0,120
34.0,technician,married,secondary,19,362
56.0,technician,divorced,primary,13,357
31.0,blue-collar,single,secondary,3,200
24.0,student,single,secondary,82,204
42.0,blue-collar,divorced,primary,28,126
57.0,technician,married,secondary,792,65
42.0,blue-collar,married,unknown,408,107
51.0,admin.,married,secondary,531,267
57.0,retired,married,secondary,211,248
36.0,services,single,secondary,62,215
53.0,services,married,unknown,257,209
50.0,technician,married,secondary,1234,205
54.0,management,married,tertiary,313,83
55.0,blue-collar,married,secondary,89,106
44.0,blue-collar,married,secondary,129,189
43.0,management,married,unknown,0,105
56.0,admin.,married,secondary,353,106
54.0,technician,married,unknown,851,108
55.0,services,divorced,primary,96,311
37.0,services,divorced,secondary,398,214
33.0,admin.,single,tertiary,193,132
46.0,admin.,married,secondary,-358,358
36.0,blue-collar,married,secondary,539,453
51.0,technician,single,secondary,0,364
40.0,retired,single,primary,0,136
42.0,blue-collar,married,secondary,490,386
51.0,blue-collar,married,secondary,0,173
49.0,blue-collar,married,unknown,403,241
48.0,management,married,secondary,161,224
32.0,technician,divorced,tertiary,2558,148
31.0,admin.,single,secondary,98,196
55.0,management,single,tertiary,115,111
40.0,blue-collar,single,secondary,436,231
47.0,technician,married,tertiary,831,316
57.0,technician,married,unknown,206,216
41.0,blue-collar,married,secondary,290,240
48.0,blue-collar,married,secondary,1,zero
42.0,blue-collar,married,unknown,57,425
30.0,blue-collar,single,secondary,-457,143
58.0,management,single,tertiary,1387,174
45.0,management,divorced,tertiary,24598,313
49.0,blue-collar,married,secondary,30,135
42.0,admin.,single,secondary,1022,146
53.0,technician,married,secondary,56,152
51.0,admin.,single,secondary,-2,402
32.0,services,single,secondary,121,213
41.0,blue-collar,single,secondary,842,144
43.0,management,divorced,secondary,693,124
40.0,blue-collar,divorced,secondary,-333,183
50.0,blue-collar,married,primary,1533,325
34.0,management,married,tertiary,46,39
53.0,services,married,unknown,18,503
45.0,technician,married,secondary,44,95
39.0,blue-collar,married,primary,-100,680
44.0,services,married,tertiary,510,421
55.0,management,married,tertiary,685,174
46.0,management,single,tertiary,187,113
45.0,blue-collar,married,secondary,66,808
34.0,admin.,married,secondary,560,198
36.0,blue-collar,married,secondary,0,195
59.0,unknown,divorced,unknown,27,347
31.0,admin.,single,secondary,12,208
44.0,blue-collar,single,secondary,34,404
33.0,entrepreneur,single,tertiary,1068,396
40.0,blue-collar,married,secondary,211,216
46.0,admin.,single,tertiary,377,98
48.0,management,married,tertiary,263,350
42.0,services,married,secondary,1263,114
27.0,services,married,secondary,8,88
48.0,admin.,married,secondary,126,379
59.0,admin.,married,secondary,230,190
46.0,technician,married,tertiary,841,158
38.0,admin.,divorced,secondary,308,102
43.0,management,divorced,tertiary,1,306
38.0,admin.,divorced,tertiary,86,218
23.0,student,single,secondary,157,54
34.0,services,married,secondary,22,344
38.0,admin.,married,secondary,46,195
37.0,blue-collar,married,secondary,1293,652
25.0,admin.,single,secondary,122,286
48.0,blue-collar,married,unknown,131,189
49.0,blue-collar,single,secondary,143,83
38.0,admin.,single,secondary,393,184
43.0,blue-collar,married,primary,98,235
33.0,management,married,tertiary,0,290
55.0,blue-collar,married,secondary,224,232
38.0,blue-collar,married,secondary,757,133
49.0,services,married,secondary,245,318
40.0,management,married,secondary,8486,260
43.0,admin.,married,unknown,350,437
38.0,blue-collar,married,secondary,20,402
58.0,services,married,secondary,1667,85
57.0,technician,married,unknown,345,125
32.0,unemployed,married,secondary,10,501
56.0,management,married,tertiary,830,1201
58.0,blue-collar,divorced,unknown,29,253
60.0,retired,divorced,secondary,545,1030
37.0,technician,married,tertiary,8730,149
46.0,technician,divorced,tertiary,477,114
27.0,admin.,married,secondary,4,243
43.0,blue-collar,married,secondary,1205,769
32.0,technician,single,secondary,0,135
40.0,admin.,single,secondary,263,231
38.0,admin.,married,secondary,1,76
34.0,blue-collar,married,secondary,283,199
47.0,blue-collar,married,primary,206,152
42.0,housemaid,married,primary,17,124
48.0,technician,married,secondary,141,424
29.0,self-employed,single,tertiary,16,43
50.0,services,married,secondary,206,154
52.0,technician,married,unknown,7,203
50.0,management,married,tertiary,0,326
58.0,retired,married,tertiary,0,393
46.0,blue-collar,divorced,primary,1927,241
38.0,technician,married,secondary,284,483
46.0,blue-collar,married,secondary,1660,259
32.0,services,single,secondary,406,227
51.0,blue-collar,married,primary,230,673
39.0,admin.,single,secondary,-25,576
48.0,admin.,married,secondary,182,180
36.0,entrepreneur,married,tertiary,1169,168
34.0,admin.,divorced,secondary,67,90
40.0,technician,married,secondary,77,505
43.0,unemployed,married,secondary,0,245
52.0,blue-collar,divorced,primary,55,186
33.0,technician,married,secondary,72,623
49.0,management,single,tertiary,163,496
32.0,management,single,tertiary,151,118
39.0,admin.,single,secondary,113,342
40.0,blue-collar,married,secondary,0,225
38.0,technician,single,tertiary,9,185
43.0,management,married,secondary,375,196
39.0,services,married,secondary,1142,276
54.0,blue-collar,married,primary,2102,76
38.0,technician,single,tertiary,4325,87
40.0,blue-collar,married,secondary,217,195
55.0,admin.,married,secondary,131,744
42.0,management,married,tertiary,1680,765
39.0,blue-collar,married,secondary,0,262
40.0,blue-collar,married,primary,46,119
32.0,blue-collar,married,secondary,320,198
55.0,admin.,married,secondary,183,150
45.0,blue-collar,married,secondary,39,241
35.0,management,single,tertiary,560,181
58.0,technician,divorced,secondary,469,196
35.0,admin.,married,secondary,530,149
49.0,services,married,primary,61,zero
34.0,technician,single,tertiary,242,112
36.0,blue-collar,married,secondary,139,309
24.0,self-employed,single,secondary,0,278
34.0,technician,married,secondary,367,140
51.0,admin.,divorced,secondary,228,136
39.0,technician,single,unknown,45248,1623
50.0,self-employed,married,unknown,-84,101
32.0,services,single,secondary,310,144
42.0,blue-collar,married,unknown,132,238
50.0,technician,married,secondary,797,354
40.0,services,married,secondary,71,79
46.0,management,divorced,unknown,2,187
37.0,management,married,tertiary,231,451
34.0,blue-collar,married,secondary,270,159
44.0,blue-collar,married,secondary,274,409
40.0,admin.,single,secondary,-109,170
37.0,technician,married,secondary,1,608
33.0,blue-collar,single,secondary,-60,243
35.0,blue-collar,married,secondary,89,145
58.0,blue-collar,divorced,secondary,-11,112
39.0,blue-collar,married,primary,0,262
43.0,blue-collar,married,secondary,-509,124
39.0,unemployed,married,primary,408,53
36.0,services,single,primary,58,134
57.0,retired,single,secondary,1640,204
36.0,admin.,single,secondary,20,186
50.0,blue-collar,married,primary,71,678
55.0,blue-collar,married,secondary,52,182
44.0,self-employed,married,tertiary,292,162
44.0,services,divorced,secondary,424,27
39.0,housemaid,single,primary,109,699
46.0,blue-collar,married,unknown,1044,43
39.0,blue-collar,married,secondary,983,97
34.0,admin.,married,secondary,869,1677
40.0,blue-collar,married,primary,668,283
50.0,management,married,tertiary,964,323
31.0,management,single,secondary,301,82
37.0,admin.,single,secondary,140,310
39.0,management,single,secondary,1877,185
51.0,blue-collar,married,primary,1127,47
41.0,technician,married,secondary,871,145
41.0,technician,married,secondary,767,204
43.0,blue-collar,married,secondary,0,187
30.0,services,single,secondary,209,30
54.0,management,divorced,primary,0,472
43.0,blue-collar,divorced,secondary,110,448
59.0,management,divorced,tertiary,-76,264
47.0,technician,married,unknown,178,169
40.0,blue-collar,married,primary,-66,288
32.0,technician,married,secondary,0,176
29.0,blue-collar,married,secondary,1,215
36.0,blue-collar,married,secondary,0,337
55.0,unemployed,married,tertiary,5345,278
30.0,blue-collar,divorced,secondary,-209,188
39.0,admin.,single,secondary,0,174
39.0,blue-collar,divorced,secondary,42,226
50.0,blue-collar,divorced,secondary,41,190
44.0,blue-collar,married,secondary,-99,111
37.0,technician,single,secondary,17,164
46.0,admin.,married,primary,276,157
32.0,technician,single,unknown,-170,46
37.0,management,single,tertiary,230,374
29.0,blue-collar,married,secondary,9,349
41.0,blue-collar,married,secondary,946,325
45.0,blue-collar,married,primary,1297,233
57.0,retired,divorced,secondary,-331,531
48.0,blue-collar,single,secondary,44,153
60.0,retired,married,secondary,15,80
26.0,admin.,single,secondary,712,232
58.0,retired,married,secondary,5435,118
34.0,admin.,married,secondary,507,190
55.0,unemployed,divorced,secondary,387,918
41.0,blue-collar,married,primary,0,238
50.0,management,divorced,secondary,1716,82
49.0,entrepreneur,married,secondary,167,198
44.0,admin.,married,unknown,40,160
44.0,blue-collar,married,primary,148,211
31.0,technician,married,secondary,17,120
34.0,blue-collar,single,tertiary,1011,136
46.0,management,single,unknown,1527,269
42.0,management,married,tertiary,744,157
52.0,admin.,married,secondary,484,128
29.0,management,single,tertiary,0,211
53.0,retired,married,primary,136,267
43.0,blue-collar,married,secondary,1335,371
38.0,management,married,secondary,517,288
46.0,management,married,tertiary,459,221
48.0,management,divorced,unknown,549,427
30.0,admin.,divorced,secondary,83,310
44.0,blue-collar,married,primary,213,158
31.0,housemaid,married,primary,203,604
42.0,services,single,secondary,518,198
40.0,management,single,tertiary,3877,145
52.0,admin.,married,secondary,1236,247
45.0,blue-collar,divorced,secondary,756,179
48.0,blue-collar,married,secondary,157,73
45.0,blue-collar,married,primary,-66,263
34.0,blue-collar,married,unknown,245,13
34.0,blue-collar,married,primary,-144,79
46.0,blue-collar,married,secondary,71,416
